diplom,nom_diplome,type_diplome_oraccle,type_diplome_sise
M000179,BACHELOR EN SCIENCES DU MANAGEMENT - DIPLOME D'ETUDES SUPERIEURES EN AFFAIRES INTERNATIONALES (DESAI) DE L'IESEG,RD,RG
R034199,MANAGER COMMUNICATION D'ENTREPRISE (NEOMA BS),07,11
R034811,EXPERT EN CONTROLE DE GESTION ET AUDIT (MBA ESG),08,11
R034980,RESPONSABLE EN REMUNERATION GLOBALE ET AVANTAGES SOCIAUX (SUP DES RH),10,11
2216199,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2216200,SCIENCES HUMAINES- SOCIALES ET GESTION : EDUCATION ET FORMATION,XB,XD
2216201,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2214886,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
5001000,PREMIERE ANNEE COMMUNE AUX ETUDES DE SANTE (PACES),IB,CY
2205104,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205105,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205100,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205102,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205103,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205101,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
8000030,ANNEE PREPARATOIRE AU DIPLOME D'ETAT D'EDUCATEUR SPECIALISE,UC,UD
R024842,ASSISTANT INGENIEUR EN BIOLOGIE- BIOCHIMIE- BIOTECHNOLOGIES,12,13
2216109,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT,XB,XD
2215575,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT,XB,XD
2215916,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT,XB,XD
2216106,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT,XB,XD
2216107,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT,XB,XD
2216108,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT,XB,XD
2215574,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT,XB,XD
2204471,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2215925,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2215924,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2205109,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2215892,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET HISTOIRE DE L'ART,XB,XD
2215711,DROIT- ECONOMIE- GESTION : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2204399,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT ET FORMATION,XB,XD
2204631,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET FORMATION,XB,XD
2204397,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT ET FORMATION,XB,XD
2204632,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET FORMATION,XB,XD
2215562,ARTS- LETTRES- LANGUES : METIERS DE LA FORMATION,XB,XD
2215560,ARTS- LETTRES- LANGUES : METIERS DE LA FORMATION,XB,XD
2216091,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION,XB,XD
2215908,SCIENCES HUMAINES ET SOCIALES : METIERS DE LA FORMATION,XB,XD
2215906,SCIENCES HUMAINES ET SOCIALES : METIERS DE LA FORMATION,XB,XD
2215558,ARTS- LETTRES- LANGUES : METIERS DE LA FORMATION,XB,XD
2215905,SCIENCES HUMAINES ET SOCIALES : METIERS DE LA FORMATION,XB,XD
2215907,SCIENCES HUMAINES ET SOCIALES : METIERS DE LA FORMATION,XB,XD
2215561,ARTS- LETTRES- LANGUES : METIERS DE LA FORMATION,XB,XD
2215559,ARTS- LETTRES- LANGUES : METIERS DE LA FORMATION,XB,XD
2216092,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION,XB,XD
2204592,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2225482,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204707,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2204833,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA TERRE- DE L'UNIVERS ET DE L'ENVIRONNEMENT,XB,XD
2204577,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET BIOTECHNOLOGIES,XB,XD
2204525,SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE - ETHNOLOGIE,XB,XD
2204237,DROIT- ECONOMIE- GESTION : ECONOMIE APPLIQUEE,XB,XD
2204596,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2204774,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2204576,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET BIOTECHNOLOGIES,XB,XD
2204612,SCIENCES- TECHNOLOGIES- SANTE : ECOLOGIE,XB,XD
2215545,ARTS- LETTRES- LANGUES : LETTRES ET CIVILISATIONS,XB,XD
2216064,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2215548,ARTS- LETTRES- LANGUES : LETTRES ET CIVILISATIONS,XB,XD
2215899,SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION,XB,XD
2216123,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2215547,ARTS- LETTRES- LANGUES : LETTRES ET CIVILISATIONS,XB,XD
2215884,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215544,ARTS- LETTRES- LANGUES : LETTRES ET CIVILISATIONS,XB,XD
2215546,ARTS- LETTRES- LANGUES : LETTRES ET CIVILISATIONS,XB,XD
2204400,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT- FORMATION- EDUCATION,XB,XD
2204542,SCIENCES HUMAINES ET SOCIALES : TOURISME- HOTELLERIE- ALIMENTATION,XB,XD
2204273,DROIT- ECONOMIE- GESTION : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204436,SCIENCES HUMAINES ET SOCIALES : INFORMATION-COMMUNICATION,XB,XD
2204328,ARTS- LETTRES ET LANGUES : MUSIQUE,XB,XD
2204402,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT- FORMATION- EDUCATION,XB,XD
2204116,ARTS- LETTRES ET LANGUES : ARTS PLASTIQUES-ARTS APPLIQUES,XB,XD
2204233,ARTS- LETTRES ET LANGUES : LETTRES,XB,XD
2204231,ARTS- LETTRES ET LANGUES : LETTRES,XB,XD
2204124,ARTS- LETTRES ET LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2204122,ARTS- LETTRES ET LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2204423,SCIENCES HUMAINES ET SOCIALES : HISTOIRE- HISTOIRE DE L'ART ET ARCHEOLOGIE,XB,XD
2204401,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT- FORMATION- EDUCATION,XB,XD
2204403,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT- FORMATION- EDUCATION,XB,XD
2204123,ARTS- LETTRES ET LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2204275,DROIT- ECONOMIE- GESTION : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204414,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,XB,XD
2204115,ARTS- LETTRES ET LANGUES : ARTS PLASTIQUES-ARTS APPLIQUES,XB,XD
2204445,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2215888,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215555,ARTS- LETTRES- LANGUES : LETTRES ET LANGUES,XB,XD
2215909,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2215513,ARTS- LETTRES- LANGUES : DIDACTIQUES DES LANGUES,XB,XD
2216072,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2216122,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2216008,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2204943,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204132,ARTS- LETTRES- LANGUES : ARTS- LETTRES ET CIVILISATIONS,XB,XD
2204448,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204514,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2204974,DROIT- ECONOMIE- GESTION : ADMINISTRATION- MANAGEMENT ET ECONOMIE DES ORGANISATIONS,XB,XD
2204712,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204942,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204386,SCIENCES HUMAINES ET SOCIALES : IDENTITES- PATRIMOINES- HISTOIRE,XB,XD
2204599,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2204776,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE- MECANIQUE,XB,XD
2215578,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2204837,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'ENVIRONNEMENT TERRESTRE,XB,XD
2204754,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204467,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2225258,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204946,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204420,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET HUMANITES,XB,XD
2204166,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES:AIRE CULTURELLE ARABE- MUSULMANE ET HAMITO-SEMITIQUE,XB,XD
2204169,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES:AIRE CULTURELLE DU MONDE ANGLOPHONE,XB,XD
2204171,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES:AIRE CULTURELLE ROMANE,XB,XD
2204215,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2215866,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,XB,XD
2216068,SCIENCES ET TECHNOLOGIES : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204272,DROIT- ECONOMIE- GESTION : METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204755,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204476,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,XB,XD
2204771,SCIENCES ET TECHNOLOGIES : PHYSIQUE,XB,XD
2216117,SCIENCES- TECHNOLOGIES- SANTE : MICROBIOLOGIE- BIOLOGIE VEGETALE ET BIOTECHNOLOGIES,XB,XD
2204590,SCIENCES ET TECHNOLOGIES : CHIMIE,XB,XD
2204167,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES:AIRE INTERCULTURELLE FRANCO-ALLEMANDE,XB,XD
2215948,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2215549,ARTS- LETTRES- LANGUES : ARTS- LETTRES LANGUES ET CIVILISATIONS,XB,XD
2216164,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'INGENIEUR,XB,XD
2215835,SCIENCES HUMAINES ET SOCIALES : CULTURES- ARTS ET SOCIETES,XB,XD
2216075,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2215871,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE- AMENAGEMENT- SOCIOLOGIE,XB,XD
2200119,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2204865,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES PHYSIQUES ET MATERIAUX,XB,XD
2204591,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2204127,ARTS- LETTRES- LANGUES : ARTS ET CULTURE,XB,XD
2204700,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2204660,SCIENCES- TECHNOLOGIES- SANTE : GENIE ELECTRIQUE ET INFORMATIQUE INDUSTRIELLE,XB,XD
2204431,SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION,XB,XD
6000711,INGENIEUR DIPLOME DE L'UNIVERSITE DE MARNE LA VALLEE- SPECIALITE GENIE CIVIL,FN,FI
6000169,INGENIEUR DIPLOME DE L'UNIVERSITE DE MARNE LA VALLEE- SPECIALITE MECANIQUE,FN,FI
6000155,INGENIEUR DIPLOME DE L'UNIVERSITE DE MARNE LA VALLEE- SPECIALITE MAINTENANCE ET FIABILITE DES PROCESSUS INDUSTRIELS,FN,FI
6000171,INGENIEUR DIPLOME DE L'UNIVERSITE DE MARNE LA VALLEE- SPECIALITE INFORMATIQUE ET RESEAUX,FN,FI
2204704,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2215541,ARTS- LETTRES- LANGUES : LETTRES ET ARTS,XB,XD
2204538,SCIENCES HUMAINES ET SOCIALES : STAPS,XB,XD
2204820,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA MATIERE,XB,XD
2204240,ARTS- LETTRES- LANGUES : LETTRES ET ARTS,XB,XD
2215961,SCIENCES HUMAINES ET SOCIALES : STAPS,XB,XD
2204419,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215881,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215579,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2215920,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,XB,XD
2215524,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2215989,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET ENVIRONNEMENT,XB,XD
2215921,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,XB,XD
2215836,SCIENCES HUMAINES ET SOCIALES : CULTURES- TERRITOIRES ET PATRIMOINE,XB,XD
2215834,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE DES PRATIQUES CORPORELLES,XB,XD
2215837,SCIENCES HUMAINES ET SOCIALES : CULTURES- TERRITOIRES ET PATRIMOINE,XB,XD
2216134,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE:PHYSIQUE SUBATOMIQUE- PHYSICO-CHIMIE DE L'ATMOSPHERE ET CLIMAT- MATERIAUX ET NANOSTRUCTURE,XB,XD
2215557,ARTS- LETTRES- LANGUES : LITTERATURES DE L'ANTIQUITE A NOS JOURS,XB,XD
2215523,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2215919,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,XB,XD
2215999,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2204135,ARTS- LETTRES- LANGUES : CIVILISATIONS ETRANGERES,XB,XD
2204855,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2204585,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE- SANTE- ECOLOGIE,XB,XD
2204710,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204394,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215391,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204136,ARTS- LETTRES- LANGUES : CIVILISATIONS ETRANGERES,XB,XD
2204392,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204252,ARTS- LETTRES- LANGUES : LINGUISTIQUE,XB,XD
2204868,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES POUR L'INGENIEUR,XB,XD
2204254,ARTS- LETTRES- LANGUES : LINGUISTIQUE,XB,XD
2214887,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204137,ARTS- LETTRES- LANGUES : CIVILISATIONS ETRANGERES,XB,XD
2204383,SCIENCES HUMAINES ET SOCIALES : CIVILISATIONS:HISTOIRE ET PATRIMOINE,XB,XD
